filename: us.koller.cameraroll.debug-v1.0.4.log
leak-567-0: yes
leak-422-9: yes
leak-740-3: yes
leak-738-5: yes
leak-423-13: yes
leak-848-11: yes
leak-566-0: yes
leak-750-0: yes
leak-164-8: yes
leak-898-0: yes
leak-828-21: yes
leak-106-13: yes
leak-182-11: yes
leak-1483-1: yes
leak-182-15: yes
leak-110-15: yes
leak-862-19: yes
leak-157-6: yes
leak-555-12: yes
leak-840-7: yes
leak-422-1: yes
leak-1041-7: yes
leak-871-9: yes
leak-415-6: yes
leak-123-15: yes
leak-354-9: yes
leak-740-9: yes
leak-110-4: yes
leak-868-0: yes
leak-419-10: yes
leak-115-15: yes
leak-979-1: yes
leak-179-16: yes
leak-439-1: yes
leak-870-4: yes
leak-852-8: yes
leak-563-4: yes
leak-569-4: yes
leak-407-7: yes
leak-103-8: yes
leak-918-2: yes
leak-963-11: yes
leak-120-1: yes
leak-442-7: yes
leak-408-1: yes
leak-748-18: yes
leak-410-7: yes
leak-170-19: yes
leak-352-1: yes
leak-972-4: yes
leak-822-2: yes
leak-154-3: yes
leak-730-12: yes
leak-103-24: yes
leak-431-1: yes
leak-10-3: yes
leak-117-24: yes
leak-230-1: yes
leak-410-9: yes
leak-861-20: yes
leak-110-6: yes
leak-915-5: yes
leak-862-6: yes
leak-725-0: yes
leak-205-2: yes
leak-406-9: yes
leak-873-21: yes
leak-570-5: yes
leak-870-19: yes
leak-164-1: yes
leak-165-12: yes
leak-839-19: yes
leak-731-5: yes
leak-111-1: yes
leak-209-3: yes
total leaks: 77856 unique leaks: 1362 unique leaks in both logs: 1362 anomalous leak count: 0
